time_intervals,cerealia,cyperaceae,poeceae ,trees,crops,herbaceous_plants
-2900 to -2801,0,0.006687063,0.004749417,0.960912005,0.000961538,0
-2900 to -2801,0,0.015774114,0.007024422,0.741559475,0.000500125,0.001244727
-2900 to -2801,0,0,0.386574074,0.448272792,0,0.028133903
-2900 to -2801,0.001462623,0.021362623,0.019593884,0.837285738,0.003615171,0.004966983
-2900 to -2801,0,0.002840909,0.021306818,0.957386364,0,0.007102273
-2900 to -2801,0,0.001373626,0.082417582,0.35989011,0.012362637,0.012362637
-2900 to -2801,0,0.005905512,0.078740157,0.783464567,0.017716535,0.007874016
-2900 to -2801,0,0.01242236,0.060559006,0.864906832,0,0.001552795
-2900 to -2801,0,0.047388781,0.015473888,0.915860735,0.001934236,0
-2900 to -2801,0,0.008498584,0.03210576,0.912181303,0.001888574,0.011331445
-2900 to -2801,0,0.003458786,0.025624325,0.867861166,0.001384089,0.005533483
-2900 to -2801,0,0.015576324,0.00623053,0.881619938,0,0
-2900 to -2801,0.009661836,0.06763285,0.144927536,0.458937198,0.026570048,0.166666667
-2900 to -2801,0,0,0.011456628,0.857610475,0.003273322,0.004909984
-2900 to -2801,0,0.005899705,0.01179941,0.973451327,0,0
-2900 to -2801,0,0.007115136,0.009702458,0.907179819,0,0.001617076
-2900 to -2801,0,0.00874998,0.003590061,0.823289409,0.000784929,0.001010101
-2900 to -2801,0,0.003853565,0.001926782,0.500963391,0,0
-2900 to -2801,0,0.008294945,0.020733536,0.954373977,0,0.001381215
-2900 to -2801,0,0.007827789,0.160469667,0.614481409,0.001956947,0.039138943
-2900 to -2801,0,0.032822757,0.076586433,0.63238512,0.004376368,0.002188184
-2900 to -2801,0,0.010830325,0.018050542,0.837545126,0.003610108,0.001805054
-2900 to -2801,0.000857633,0.02058319,0.009433962,0.857632933,0.003430532,0.006003431
-2900 to -2801,0,0.062334218,0.055702918,0.819628647,0.0066313,0.013262599
-2900 to -2801,0,0.019496036,0.010802922,0.956042956,0,0
-2900 to -2801,0.00048054,0.003908886,0.019901769,0.947175501,0.000675412,0.004368866
-2900 to -2801,0,0.021014246,0.006748675,0.692614382,0.000763359,0.002674187
-2900 to -2801,0,0.005952381,0.00297619,0.711309524,0,0.014880952
-2900 to -2801,0,0.005736801,0.011527904,0.942837816,0.001420625,0.001807457
-2900 to -2801,0,0.010840108,0.005420054,0.804878049,0.008130081,0.021680217
-2900 to -2801,0,0.011725293,0.010050251,0.855946399,0.001675042,0
-2900 to -2801,0,0.003072197,0.004608295,0.91858679,0,0.001536098
-2900 to -2801,0,0.056521739,0.160869565,0.597826087,0.004347826,0.002173913
-2900 to -2801,0,0.257142857,0.073469388,0.497959184,0.024489796,0.044897959
-2900 to -2801,0,0.007978723,0.030585106,0.928191489,0.001329787,0.002659574
-2900 to -2801,0,0.065934066,0.065934066,0.741758242,0.005494505,0.005494505
-2900 to -2801,0,0.002115954,0.005501481,0.955988151,0,0
-2900 to -2801,0.000907378,0.046871709,0.103721114,0.511069972,0.000570451,0.017213464
-2900 to -2801,0,0.002239424,0.013006871,0.866888796,0.000838812,0.002439997
-2900 to -2801,0,0.052664188,0.010532838,0.876703841,0.001858736,0
-2900 to -2801,0.003177485,0.131638675,0.115751248,0.523377213,0.005447118,0.023604176
-2900 to -2801,0,0.036505867,0.050847458,0.685788787,0.003911343,0.006518905
-2900 to -2801,0,0.003169572,0.033280507,0.735340729,0.004754358,0.001584786
-2900 to -2801,0,0.085450346,0.197459584,0.321016166,0.001154734,0.079676674
-2900 to -2801,0,0.004385965,0.002923977,0.701754386,0,0
-2900 to -2801,0.00177305,0.141843972,0.031914894,0.404255319,0,0.021276596
-2900 to -2801,0,0.199915504,0.336771775,0.201111221,0.01249073,0.013840482
-2800 to -2701,0,0.000192419,0.001111753,0.074294999,4.28E-05,6.41E-05
-2800 to -2701,0,0.019021739,0.033514493,0.785326087,0.016304348,0.027173913
-2800 to -2701,0,0.089805825,0.009708738,0.876213592,0.009708738,0
-2800 to -2701,0,0.026862027,0.156288156,0.549450549,0.026862027,0.067155067
-2800 to -2701,0.01512605,0.003361345,0.018487395,0.119327731,0.001680672,0.006722689
-2800 to -2701,0.000704225,0.014788732,0.038028169,0.654929577,0.001408451,0.00915493
-2800 to -2701,0,0.005137917,0.011790096,0.960614198,0.001240585,0.002987437
-2800 to -2701,0,0.025449102,0.049401198,0.860778443,0.004491018,0.008982036
-2800 to -2701,0,0.010575477,0.014791377,0.658621444,0.000420875,0.005489244
-2800 to -2701,0,0.023971929,0.034118541,0.681065618,0.001519757,0.004460933
-2800 to -2701,0,0.003594218,0.044456095,0.500526307,0,0.001416431
